trial_number,cost,winkler,pinball,is_on_front,is_selected,n_estimators,learning_rate,max_depth,l2_leaf_reg,border_count,one_hot_max_size,random_strength,bagging_temperature
0,26.801587984721674,76.75582692375616,26.801587984721674,False,False,1155,0.24517932047070642,9,2.481040974867812,66,41,0.5808361216819946,8.661761457749352
1,25.626704847917612,65.36633577571317,25.626704847917612,False,False,1823,0.09078835431980901,4,75.79479953348003,217,55,1.8182496720710062,1.8340450985343382
2,26.019796085284973,69.33871766779542,26.019796085284973,False,False,947,0.042861395747190736,7,0.14618962793704965,168,37,2.9214464853521815,3.663618432936917
3,25.80416533199834,68.5953361223796,25.80416533199834,False,False,1395,0.12448918446337819,5,1.1400863701127326,164,13,6.075448519014383,1.7052412368729153
4,30.74702367010347,83.50255570267099,30.74702367010347,False,False,241,0.24335036886510378,10,17.123375973163984,99,26,6.842330265121569,4.4015249373960135
5,25.7236849745629,67.92133079685125,25.7236849745629,False,False,410,0.03797252233376349,4,43.379206974909415,89,170,3.1171107608941098,5.200680211778108
6,28.57955813742431,78.87008425233775,28.57955813742431,False,False,1663,0.01065783974051436,10,12.604664585649465,241,229,5.978999788110851,9.218742350231167
7,29.608408021227206,89.31162650162746,29.608408021227206,False,False,311,0.011154681546966926,4,0.20013420622879985,118,70,8.287375091519294,3.567533266935893
8,26.05570156443498,68.29918066029582,26.05570156443498,False,False,879,0.04612811663739071,4,16.172900811143148,48,252,7.722447692966574,1.987156815341724
9,27.16031262400109,74.20623871878742,27.16031262400109,False,False,66,0.1409236110165583,8,8.24192526487645,203,20,3.5846572854427263,1.1586905952512971
10,24.18759856220367,66.02534657838348,24.18759856220367,False,False,1438,0.23160515171387722,5,62.868700315322975,154,45,0.03426870286948325,0.7871000602439218
11,25.344495855143318,65.57869062534743,25.344495855143318,False,False,2075,0.10273862981662092,4,18.722954827362507,136,66,1.474299281620415,2.333090324249806
12,25.07771681937564,72.97909724240327,25.07771681937564,False,False,1436,0.22434055705867215,7,74.00301200861192,146,26,1.5535641901984887,0.22815934620354617
13,24.907865556451405,66.72587463198693,24.907865556451405,False,False,204,0.108830740111597,4,1.0754534892644179,99,9,0.5679272768380849,1.6319850076384679
14,25.000270238192115,66.05267899048503,25.000270238192115,False,False,305,0.27164548041964437,4,71.34508131564785,196,82,0.35075375315225743,0.344581981847119
15,24.435852123902304,67.74173578935984,24.435852123902304,False,False,1983,0.16599948391072997,6,6.766039494939613,212,12,0.24915039451910181,5.5739399062573955
16,24.558567776507566,66.30894679992568,24.558567776507566,False,False,2228,0.1778351816699684,6,3.0702055998910978,217,112,1.7751316575021223,0.9053964777845305
17,26.185231425488276,76.720442939446,26.185231425488276,False,False,1516,0.07561482909230066,10,91.63213677352155,54,125,0.656849547384402,2.641687855895174
18,25.596845113184454,66.33517649972974,25.596845113184454,False,False,1300,0.03823901213585543,5,90.2914906047619,224,137,4.410399518205633,2.4487179542830777
19,25.624834118536434,67.99746767174379,25.624834118536434,False,False,1059,0.03889856426435598,6,80.73057123689613,71,13,2.6633191818365862,1.181520582952178
20,25.72318840605984,67.3785809891264,25.72318840605984,False,False,636,0.21124229281779652,4,69.5242238216696,50,79,4.162558379133372,3.579502005018611
21,25.266287976840868,67.44430107654397,25.266287976840868,False,False,1813,0.1513331854684818,4,34.73745531221256,158,12,1.3715977969387019,1.7059735309341142
22,25.4163946650712,68.70310728016807,25.4163946650712,False,False,1644,0.2905220954365213,5,2.2237690524993736,83,53,1.7796933222985463,1.2943498785742635
23,24.070023775634734,65.53527821459829,24.070023775634734,False,False,1577,0.2557852753508941,5,65.3405610520566,213,152,0.3011519575973969,3.5056979172711618
24,24.30699459800748,65.22353559183792,24.30699459800748,True,False,1993,0.11188655802046726,5,93.77856996183087,184,228,0.46521251067201463,3.108887794345618
25,24.46089313714271,66.12606024549862,24.46089313714271,False,False,2944,0.19946069575509262,5,50.292407190199974,218,248,0.4710497071435609,5.2680688435647625
26,24.177831079938425,66.52742644937913,24.177831079938425,False,False,1520,0.2886651331550837,5,33.75371034411557,136,165,1.3663457509517927,4.8963038852878995
27,25.3959905179629,66.23047509092899,25.3959905179629,False,False,1370,0.21821130575684122,4,72.69993689153112,245,171,0.19785676282771314,4.502530708517108
28,25.451878007822284,65.86846655455703,25.451878007822284,False,False,1864,0.030845042171511967,5,1.4782481962001521,165,250,3.470959088517659,2.7340199043500033
29,24.17152864739543,67.20189332824076,24.17152864739543,False,False,1504,0.05671148419689073,7,36.14882016969429,147,182,0.22617218725739335,2.736540508811818
30,25.138258486133985,72.01338571245996,25.138258486133985,False,False,1713,0.2039557681633104,7,86.76677387594215,210,123,2.4614303080937385,3.9522028881340496
31,23.867396034988523,68.58241650372867,23.867396034988523,False,False,2032,0.2479750383276283,6,66.49799935323219,183,188,1.4303643794047942,1.4299853882661044
32,25.477578715459675,67.17641741233618,25.477578715459675,False,False,2329,0.08420768408024178,5,89.5132727828316,170,242,4.134378510286054,1.3225413125355596
33,25.071334668305543,72.1726377636377,25.071334668305543,False,False,1954,0.274332915357089,7,39.060086325739704,198,192,0.635621209724224,0.5226350214419847
34,24.739694719182463,68.6406947366974,24.739694719182463,False,False,1710,0.1473568439064481,7,69.08401579563126,198,253,1.4058491180695842,4.402162163073908
35,24.422453578910602,66.61081656444478,24.422453578910602,False,False,1800,0.25873069345584426,5,37.692049550912294,157,180,1.723423471269479,1.763602530706275
36,24.859645132366076,64.2509531139182,24.859645132366076,True,False,2139,0.052881198339298136,4,83.5450593861805,154,193,0.4737392067555956,3.9887364769966265
37,24.566122314368815,64.6015317136382,24.566122314368815,False,False,2087,0.024504625387796717,4,60.56293252541136,109,229,0.2909982911973723,3.78673326566911
38,25.673337143990484,69.59652558811523,25.673337143990484,False,False,1952,0.005770766421054719,6,9.867800416200028,51,252,1.817768081969115,2.6581072698391597
39,29.93717577440821,88.12342325188116,29.93717577440821,False,False,234,0.012171859688348344,7,0.010763351625986442,243,247,6.521937986217916,4.85857804789243
40,24.4979692310339,64.26585334174536,24.4979692310339,True,False,2091,0.021102735013884478,4,15.271702345928004,158,196,0.590999813542636,5.300759336472426
41,25.170089025734164,64.87412891268926,25.170089025734164,False,False,2733,0.025971568699834573,5,31.496596024940857,138,136,1.5685924989338091,7.643841368203753
