trial_number,cost,winkler,pinball,is_on_front,is_selected,subsample,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,min_data_per_group,cat_smooth,colsample_bytree,reg_alpha,reg_lambda,max_bin
0,23.12848354021179,61.57360261415179,23.12848354021179,False,False,0.9061810178271044,2855,0.1001303991139125,10,4,16,30,43.308807288746756,0.6410035105688879,0.12042752972516813,1.6063676259174453e-08,248
1,28.528185970871668,86.5789108860832,28.528185970871668,False,False,0.9748663961200632,676,0.010526458851636467,7,11,53,216,14.561457009902096,0.6506676052501416,2.4827821051950883e-07,8.345387083873532e-06,98
2,29.035735725511763,81.22324208522119,29.035735725511763,False,False,0.9184104976325553,2367,0.011324530081857673,9,72,5,304,8.526206184364577,0.15854643368675156,30.82161367041657,45.32317553128079,208
3,25.617613613086508,64.7589056390858,25.617613613086508,False,False,0.8956920653760055,338,0.08234548958371457,9,3,50,18,45.4660201039391,0.33290198344001526,0.04219129382647607,1.3095158546031507e-05,136
4,26.4296063805079,70.68345027877655,26.4296063805079,False,False,0.9320065419014919,595,0.26487326352428686,11,690,90,299,46.093711751155844,0.17964325184672755,9.116510241437162e-07,2.833171661121252e-08,88
5,29.089566867880528,82.81558550393105,29.089566867880528,False,False,0.9083015934534223,850,0.14879578963571918,8,9,55,71,40.109849037701984,0.16709557931179375,73.93828382876357,0.5277736371601193,57
6,29.67165029342795,83.37218161396277,29.67165029342795,False,False,0.8508283175685404,2456,0.09033775094656361,11,230,8,180,5.793452976256486,0.8767930832880342,0.017099415613443854,2.0369494362621804e-05,23
7,26.02509343446851,72.61634678814471,26.02509343446851,False,False,0.8966473482573493,1009,0.09915626115435812,10,491,48,60,35.66223936114975,0.7847065437552078,0.004099887837545046,0.5124739561946073,130
8,28.615286164834007,92.58312378258347,28.615286164834007,False,False,0.9284099244072991,1311,0.005548416522539619,6,2,64,158,25.42853455823514,0.9168098265334838,3.111159606081214e-06,0.00012700745988983495,195
9,26.01486153474503,80.56754176191505,26.01486153474503,False,False,0.8843197248237433,277,0.016375399825825587,7,648,81,317,43.57302950938588,0.8233048692092031,7.340076543971401e-07,8.425389456449357,141
10,24.840459098499082,68.07163828125236,24.840459098499082,False,False,0.9060472844282335,2602,0.14751060715389913,10,18,19,23,29.73461260418895,0.7906125871614342,1.9593821380154214e-05,1.3724763456801442e-06,244
11,23.583696279451733,59.16512779273283,23.583696279451733,False,False,0.8776789566282405,2660,0.14111058255211753,10,2,1,127,46.54337952665623,0.5673253019894228,0.09826303839005004,3.103682664008154e-08,247
12,25.09438422147328,67.21455487250098,25.09438422147328,False,False,0.8520908566029065,2287,0.15027966708024923,10,26,19,222,49.73350027053551,0.5955843878551299,0.335047771049086,1.252030578716966e-08,213
13,27.355219088749674,68.65580265627788,27.355219088749674,False,False,0.9487888673040601,2104,0.24632082300106392,7,2,12,218,40.75026495418916,0.43632479427610904,0.0064309422460556605,1.8848643589657183e-08,244
14,26.85708032804784,73.47731277464514,26.85708032804784,False,False,0.8675300199620289,2561,0.018684050051812427,8,2,4,13,29.055315799922983,0.6436529130475581,0.0672323840650339,2.3888890607753086e-06,223
15,26.074150454581975,72.1755446141654,26.074150454581975,False,False,0.9130017560940251,2415,0.17599725658764317,7,17,12,3,47.43510481423323,0.9359048639064573,47.407357249459295,5.682125846997583e-08,245
16,24.627153228658266,66.63122662245561,24.627153228658266,False,False,0.9233714549023047,2286,0.08853911203620518,11,6,24,336,29.84118334944522,0.6211558736699303,0.3768246971514224,5.0738329247048754e-05,238
17,26.07314862000616,70.72759309288412,26.07314862000616,False,False,0.9651107480317268,2272,0.10232744751843201,12,14,7,56,46.93923704830258,0.6715290742863904,41.05558301512252,5.250520367804565e-07,222
18,26.521644830525386,70.71900165407109,26.521644830525386,False,False,0.9109238686956209,1145,0.04369087778092528,12,2,23,64,42.165333371754926,0.5754732466792037,0.034544135990774424,1.4692363836776834e-08,180
19,27.241411553380853,69.7282714212847,27.241411553380853,False,False,0.906571636384809,2654,0.11327969256624122,11,2,49,166,41.50757695434637,0.8210566189446855,0.2926012158676039,1.7731812075909503e-06,190
20,24.23046112716084,65.71837682490768,24.23046112716084,False,False,0.8949146209254691,2854,0.054659617786218265,10,16,13,217,48.57488665440372,0.45734717443722966,1.965263076180532e-06,9.315807882620795e-05,222
21,22.074119329763658,58.33933967451141,22.074119329763658,True,True,0.8645436132821297,2848,0.11035742690796868,10,3,14,89,44.31978670923007,0.8134031392303684,0.005267145681493303,6.32304017997875e-08,241
22,23.538094486336117,64.80431680498754,23.538094486336117,False,False,0.8798892340187222,2455,0.039633191837916255,12,13,14,56,49.595349560246966,0.82329823692748,0.00029365999431837806,1.6160517524619783e-07,225
23,23.530532291276682,59.97413024967737,23.530532291276682,False,False,0.8790091657309432,2379,0.13331599398738356,8,2,5,7,44.9446411093438,0.8182857325264031,0.003733507049744558,8.757494069471977e-08,220
24,25.27891978738045,69.38608919068277,25.27891978738045,False,False,0.8876968157759639,2805,0.2960571045664434,9,15,23,248,38.89407488517699,0.9951545229943084,2.3457537273299102e-05,1.9306179395587475e-07,134
25,23.994081268021443,63.08147686941689,23.994081268021443,False,False,0.8737399671913699,2842,0.28776952860256105,12,3,31,49,39.851192981792416,0.5840591725006313,0.0001622918641082339,1.5119327905944363e-08,195
26,24.6621483966306,66.79121929436802,24.6621483966306,False,False,0.8553992155930699,2790,0.0957605545627068,9,4,17,51,48.58288409730208,0.710791844978673,19.949311367066187,0.0009423637140731388,243
27,23.84387211286448,64.20030318686399,23.84387211286448,False,False,0.8522693610227597,2250,0.11214649524345606,9,8,35,157,46.329291019087115,0.7852862824408094,1.9745553404817047e-05,1.3815995910222786e-08,235
28,24.961592499869777,61.064635058653685,24.961592499869777,False,False,0.8776421208950165,2936,0.28292170060349225,11,2,26,113,45.07997048779654,0.9743137929640432,0.07811001703394573,3.964805721581602e-06,240
29,22.44516144950311,58.73006607205149,22.44516144950311,False,False,0.8595297342482013,2940,0.10728523421138081,11,3,1,122,46.601661964897396,0.7789788323288399,0.21633857954810756,1.5114626013483656e-08,171
30,26.322930255001502,74.2125096113867,26.322930255001502,False,False,0.86374961522498,1671,0.006302760620164328,11,823,88,83,28.0088066682193,0.5008452549972587,1.901595842102751e-08,1.5755571581633308e-06,148
31,29.66820544823895,80.9558815037055,29.66820544823895,False,False,0.8691937785615687,2035,0.13222921465874943,6,3,81,410,18.76846274769327,0.43394563177203904,0.0004863131976739791,3.3279824416725377,31
